순위,선수,팀,킬,딜량,기절,어시스트,헤드샷,경기,경기당킬,경기당딜
116,MHG_JEJE,MHG,14,3400,15,9,5,25,0.6,136
117,SXG_HELLPER,SXG,14,2901,16,11,4,15,0.9,193
118,XXG_gwang1n,XXG,14,2896,13,11,0,30,0.5,97
119,Ez_Rage,EZ,14,1408,9,4,3,5,2.8,282
120,ER_7empest,ER,13,3770,18,15,3,30,0.4,126
121,ER_MaengGu,ER,13,3365,14,11,0,30,0.4,112
122,XGZ_Select,XGZ,13,2576,14,6,4,10,1.3,258
123,PDE_Lucid,PDE,13,2234,11,11,4,5,2.6,447
124,DD_Hela,DD,13,2015,13,4,6,15,0.9,134
125,KX_List,KX,13,1670,13,8,5,10,1.3,167
126,Ark_Primmie,ARK,12,2463,12,10,2,10,1.2,246
127,SXA_LinZhaoMing,SXA,12,2178,10,5,1,5,2.4,436
128,Ark_HwangCo,ARK,12,1492,7,5,3,10,1.2,149
129,XW_7empest,XW,11,2558,8,6,2,15,0.7,171
130,Ark_Arte,ARK,11,1520,10,3,1,10,1.1,152
131,So_Mandu,SO,11,1441,8,3,2,5,2.2,288
132,XW_Hun,XW,11,1283,7,1,2,15,0.7,86
133,XGZ_Eseu,XGZ,10,2294,14,5,3,10,1,229
134,YP_heyden,YP,10,2150,8,3,3,20,0.5,108
135,ZEN_Zyrr7,ZEN,10,2136,9,2,2,15,0.7,142
136,XGZ_PURGE,XGZ,10,1633,6,3,5,10,1,163
137,KRT_GOMP,KRT,10,1631,11,9,4,5,2,326
138,HNB_beom,HNB,10,1581,12,7,1,10,1,158
139,KRT_FIN,KRT,10,1195,8,2,3,5,2,239
140,1004_fate,1004,10,1192,10,7,1,5,2,238
141,BKL_ESANI,BKL,9,2101,10,0,2,10,0.9,210
142,ARK_Primmie,ARK,9,1709,7,4,3,10,0.9,171
143,TSC_Yubi,TSC,9,1420,8,2,4,5,1.8,284
144,PDE_LinZhaoMing,PDE,9,1404,6,13,1,5,1.8,281
145,Ez_Koojun,EZ,9,1341,11,6,2,5,1.8,268
146,EDV_youth,EDV,9,1266,9,5,5,5,1.8,253
147,PUSH_BONGBONG,PUSH,9,1206,10,2,1,10,0.9,121
148,KX_KimKaXhaxx,KX,8,2584,8,9,1,10,0.8,258
149,ZEN_218,ZEN,8,1832,9,4,4,15,0.5,122
150,SRI_Caria,SRI,8,1551,9,6,3,15,0.5,103
151,1004_fhila,1004,8,1294,6,5,1,5,1.6,259
152,570_1000Jae,570,8,1283,5,4,2,5,1.6,257
153,EOS_WaSsoBeSso,EOS,8,1115,7,0,1,10,0.8,112
154,1004_caidekoujio,1004,8,1046,8,1,1,5,1.6,209
155,WG_Hhack,WG,8,1021,5,1,3,5,1.6,204
156,MZV_freaky,MZV,8,960,10,0,4,5,1.6,192
157,SZ_uxxxn,SZ,7,1282,7,4,1,5,1.4,256
158,EOS_Left,EOS,7,1127,6,2,1,5,1.4,225
159,SRY_100LV,SRY,7,1072,4,2,2,5,1.4,214
160,SXG_KAL,SXG,7,1045,9,4,1,10,0.7,105
161,HMS_LePol,HMS,7,995,8,4,0,5,1.4,199
162,MZV_muel,MZV,7,954,6,3,2,5,1.4,191
163,V7_PokJu,V7,7,869,4,3,1,5,1.4,174
164,SXG_DONGPIL,SXG,7,859,4,3,0,5,1.4,172
165,FLS_eLv,FLS,7,848,6,2,1,5,1.4,170
166,SZ_herrscherKR,SZ,7,797,7,3,3,5,1.4,159
167,570_HIGHHAN,570,7,515,6,1,2,5,1.4,103
168,BKL_JUNSTAR,BKL,6,1820,9,2,0,10,0.6,182
169,FLS_gwang1n,FLS,6,1306,5,2,1,5,1.2,261
170,EDV_Elice,EDV,6,1259,6,3,2,5,1.2,252
171,HNB_juwon,HNB,6,1199,7,3,1,10,0.6,120
