순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜
33,SB_GGoBuGi,SB,13,2792,14,6,4,5,2.6,558
34,C5_Gray,C5,13,2740,18,8,3,10,1.3,274
35,KX_Kkxpeace,KX,13,2512,15,9,5,15,0.9,167
36,SGA_AnX1n,SGA,13,2081,9,5,3,10,1.3,208
37,SGZ_JUNGI,SGZ,13,1837,7,5,3,5,2.6,367
38,PNKO_ShotDuo,PNKO,12,2874,14,9,2,10,1.2,287
39,SB_Ayoh,SB,12,2345,7,7,3,5,2.4,469
40,XGZ_Eight,XGZ,12,2085,8,4,6,15,0.8,139
41,FL_DORI,FL,12,1625,10,8,1,10,1.2,163
42,ZN_Jinbao,ZN,11,2070,13,5,2,10,1.1,207
43,EOS_Right,EOS,11,1728,10,6,3,5,2.2,346
44,FL_DING,FL,11,1691,11,7,2,10,1.1,169
45,C5_todn,C5,11,1581,8,5,3,5,2.2,316
46,AAA_Focus,AAA,11,1522,13,10,2,15,0.7,101
47,SGZ_LinZhaoMing,SGZ,11,1450,7,5,3,5,2.2,290
48,DK_Americano,DK,11,1434,11,0,4,5,2.2,287
49,MM_muel,MM,11,1328,10,5,3,5,2.2,266
50,AAA_MooHeon,AAA,10,1672,9,5,0,15,0.7,111
51,EOS_DK,EOS,10,1489,12,6,1,5,2,298
52,MIR_Minuda,MIR,10,1228,9,2,3,5,2,246
53,SGZ_Yubi,SGZ,10,913,12,4,2,5,2,183
54,TAG_Devil,TAG,9,1750,5,4,2,10,0.9,175
55,TCN_CxldMxn,TCN,9,1686,10,5,2,10,0.9,169
56,AAA_Black9,AAA,9,1588,7,7,2,10,0.9,159
57,MAY_218,MAY,9,1465,8,5,4,10,0.9,147
58,SXA_Grxvin,SXA,9,1434,9,7,3,5,1.8,287
59,C5_Archi,C5,9,1413,9,5,2,5,1.8,283
60,MM_DanDanHam,MM,9,1127,10,2,3,5,1.8,225
61,XF_One1Tap,XF,8,2296,14,13,2,10,0.8,230
62,FL_PEEKKING,FL,8,2245,11,5,3,10,0.8,225
63,PNKO_Entia,PNKO,8,1992,7,8,3,10,0.8,199
64,MHG_Roger,MHG,8,1975,13,11,0,15,0.5,132
65,SB_Gyuyeon,SB,8,1750,8,10,2,5,1.6,350
66,GGWP_naheesoo,GGWP,8,1719,12,9,0,10,0.8,172
67,C5_Krbyz,C5,8,1675,6,5,0,5,1.6,335
68,SRI_K1ways,SRI,8,1623,9,1,4,5,1.6,325
69,EOS_Jaechan,EOS,8,1523,8,9,1,5,1.6,305
70,ISK_Genom,ISK,8,1434,8,4,2,5,1.6,287
71,AAA_MooSik,AAA,8,1165,7,3,4,5,1.6,233
72,KCR_antjd,KCR,8,1127,5,3,2,10,0.8,113
73,SXA_BBANG,SXA,8,888,4,3,2,5,1.6,178
74,YCZ_bulguk4_4,YCZ,8,816,7,2,2,5,1.6,163
75,SB_Glaz,SB,7,1669,7,3,1,5,1.4,334
76,FL_BigPicTure,FL,7,1562,9,3,3,10,0.7,156
77,MIR_Americano,MIR,7,1527,9,5,2,10,0.7,153
78,ISK_Yong,ISK,7,1487,5,5,1,5,1.4,297
79,XXX_Raccoon,XXX,7,1352,10,2,3,5,1.4,270
80,GGWP_Wanted,GGWP,7,1281,2,9,1,5,1.4,256
81,ZN_MJ,ZN,7,1239,10,1,2,5,1.4,248
82,KYA_RooKie,KYA,7,1237,8,2,2,5,1.4,247
83,XW_MaengGu,XW,7,1079,8,1,3,5,1.4,216
84,SSH_Fluffy,SSH,7,1046,6,4,0,5,1.4,209
85,MM_DanDan,MM,7,975,3,8,5,5,1.4,195
86,MM_SikSik,MM,7,796,6,6,1,5,1.4,159
87,TAG_flash,TAG,7,789,7,1,2,10,0.7,79
88,MIR_minuda,MIR,7,730,4,2,2,5,1.4,146
89,ZN_Junbao,ZN,6,2173,9,10,1,10,0.6,217
90,SGZ_EsrA,SGZ,6,1442,6,7,4,5,1.2,288
91,ISK_melody,ISK,6,1409,8,6,0,5,1.2,282
92,PNKO_Oops,PNKO,6,1292,4,6,0,5,1.2,258
93,MIR_flusha,MIR,6,1249,6,6,3,10,0.6,125
